Time,N,Seed,Model,Value
18,30,112,control,0.02977657489588482
21,10,112,control,3.969374635140136e-5
21,30,112,control,0.08362515863449482
24,10,112,control,0.03168814843848275
24,30,112,control,0.06371592956443693
27,10,112,control,0.07968928716685447
27,30,112,control,0.08137384280029589
30,10,112,control,0.06556364150796623
30,30,112,control,0.05361753465318304
33,10,112,control,0.04316380289592946
33,30,112,control,0.04507519547322475
36,10,112,control,-0.00600563565905543
36,30,112,control,0.0268724584604922
39,10,112,control,-0.02746076639576812
39,30,112,control,0.05376272262185174
42,10,112,control,0.05094181087799066
42,30,112,control,0.05214442604390569
45,10,112,control,0.03112960450365337
45,30,112,control,0.01172864234713607
48,10,112,control,0.10105175328606827
48,30,112,control,0.10653125955147136
0,10,113,control,-0.03407909518060924
0,30,113,control,-0.00967291632630225
3,10,113,control,0.03883378510383523
3,30,113,control,-0.01026349218482781
6,10,113,control,-0.0072275065322737
6,30,113,control,0.00726457734179945
9,10,113,control,0.05924210237545815
9,30,113,control,0.01568691070834987
12,10,113,control,0.11077878107959514
12,30,113,control,0.06036302813029863
15,10,113,control,-0.02115512670719701
15,30,113,control,0.06904982712037239
18,10,113,control,-0.00523249528159264
18,30,113,control,-0.01466952689359159
21,10,113,control,0.00627050251826367
21,30,113,control,0.0614952630892174
24,10,113,control,-0.06374797481894652
24,30,113,control,0.06597227682162433
27,10,113,control,-0.03034658603809973
27,30,113,control,0.02931722084519935
30,10,113,control,-0.03399998709740624
30,30,113,control,0.05050411239090502
33,10,113,control,0.01712573522748273
33,30,113,control,0.02934561734034126
36,10,113,control,-0.00518200830692278
36,30,113,control,-0.00330096524892411
39,10,113,control,0.02607132138241414
39,30,113,control,0.00661915853069331
42,10,113,control,0.01611774939726533
42,30,113,control,0.06730057340834561
45,10,113,control,0.06254577749416008
45,30,113,control,0.06807327692291894
48,10,113,control,0.03901416316573251
48,30,113,control,0.05853876855375048
0,10,114,control,-0.02241732092167534
0,30,114,control,-0.05604128676076874
3,10,114,control,0.01757506129962737
3,30,114,control,-0.02155105159926404
6,10,114,control,-0.04426844509729852
6,30,114,control,-0.00331159000554741
9,10,114,control,0.1100505117302716
9,30,114,control,-0.00392281854050407
12,10,114,control,-0.02177827632546353
12,30,114,control,-0.02818225200725116
15,10,114,control,-0.08172535187008752
15,30,114,control,-0.08097010123121953
18,10,114,control,-0.0441447737062307
18,30,114,control,-0.02304482356602917
21,10,114,control,-9.5982200200614e-4
21,30,114,control,-0.06620495423272217
24,10,114,control,-0.05981162300156101
24,30,114,control,-0.08920296569667066
27,10,114,control,-0.05484803017906459
27,30,114,control,-0.05898665861046123
30,10,114,control,-0.124131447281173
30,30,114,control,-0.01177475848051017
33,10,114,control,-0.00593196481859776
33,30,114,control,-0.03301248754434201
36,10,114,control,-0.0319276050334258
36,30,114,control,-0.10435519476147004
39,10,114,control,-0.04685202663371667
39,30,114,control,-0.05134307162847142
42,10,114,control,-0.01076597220587305
42,30,114,control,-0.06800917340324619
45,10,114,control,-0.05761160420653431
45,30,114,control,-0.03329161650538302
48,10,114,control,-0.08566418501946571
48,30,114,control,-0.049767661285207473
0,10,115,control,-0.02756697424183079
0,30,115,control,-0.03846606599501553
3,10,115,control,-0.01316475623749105
3,30,115,control,0.00176403071539178
6,10,115,control,-0.0114365303675416
6,30,115,control,-0.00839562788693963
9,10,115,control,-0.06612325388866377
9,30,115,control,-0.01682819864185619
12,10,115,control,-0.033752005853392227
12,30,115,control,0.00319815567999556
15,10,115,control,-0.00706487499082247
15,30,115,control,0.01921359219105255
18,10,115,control,0.00610955744180417
18,30,115,control,0.02141050651509706
21,10,115,control,0.02106095880855013
21,30,115,control,0.01531917628691639
24,10,115,control,0.04722593493173016
24,30,115,control,0.00151520542265173
27,10,115,control,0.05454316552603708
27,30,115,control,0.03356184872277693
