Time,N,Seed,Model,Value
48,30,118,control,-0.02167151581825865
0,10,119,control,0.00425602869435883
0,30,119,control,0.02963148765515215
3,10,119,control,0.03561581795295586
3,30,119,control,0.00800627319983772
6,10,119,control,0.00186650261728512
6,30,119,control,0.01598229163471261
9,10,119,control,0.02982799058876177
9,30,119,control,0.02224810444104294
12,10,119,control,0.01490992669622352
12,30,119,control,0.0349676912832151
15,10,119,control,0.0743800775191405
15,30,119,control,0.09161459097069163
18,10,119,control,0.03156528642522373
18,30,119,control,0.04239518414708106
21,10,119,control,0.00745320184287397
21,30,119,control,0.03419414620596216
24,10,119,control,0.032583588418176
24,30,119,control,0.04417945676355248
27,10,119,control,0.02534856916444566
27,30,119,control,0.01826322418260735
30,10,119,control,0.1293070305957961
30,30,119,control,0.0419438343584194
33,10,119,control,0.11130411450783552
33,30,119,control,0.04711616307339732
36,10,119,control,0.02044475431973244
36,30,119,control,-2.1491405867785e-4
39,10,119,control,0.00197026195062686
39,30,119,control,0.01462552353075277
42,10,119,control,0.00598353234467345
42,30,119,control,0.08556692978772533
45,10,119,control,-0.02666066372247176
45,30,119,control,-0.00786908756522972
48,10,119,control,0.03829021134847483
48,30,119,control,0.01901593563282664
0,10,12,control,-0.04571384166048871
0,30,12,control,-0.07944041339315472
3,10,12,control,-0.06170117544814823
3,30,12,control,-0.08059076333094863
6,10,12,control,-0.07303655774517122
6,30,12,control,-0.07875491323229435
9,10,12,control,-0.04024009507586078
9,30,12,control,-0.03202674198363256
